plot_id,true_label,prob_class_1,thresholded_label,thresholded_misclassified
11252,0,0.38,1,1
11205,0,0.275,1,1
11224,1,0.265,1,0
11225,0,0.84,1,1
11226,1,0.245,1,0
11227,0,0.27,1,1
11216,0,0.47,1,1
11217,0,0.255,1,1
11218,1,0.185,0,1
11219,1,0.535,1,0
11253,1,0.11,0,1
11254,1,0.405,1,0
11255,0,0.335,1,1
11256,0,0.215,0,0
11257,0,0.42,1,1
11206,0,0.045,0,0
11207,0,0.165,0,0
11208,0,0.57,1,1
11209,1,0.13,0,1
11210,0,0.25,1,1
11238,1,0.49,1,0
11239,1,0.14,0,1
11240,0,0.18,0,0
11241,0,0.54,1,1
11242,0,0.175,0,0
11211,0,0.51,1,1
11212,0,0.2,0,0
11213,0,0.11,0,0
11214,1,0.14,0,1
11215,0,0.48,1,1
16313,0,0.45,1,1
16283,0,0.14,0,0
16328,1,0.24,1,0
16329,1,0.105,0,1
16330,1,0.18,0,1
16331,0,0.23,1,1
16289,0,0.185,0,0
16290,0,0.165,0,0
16291,0,0.055,0,0
16292,0,0.43,1,1
16318,0,0.605,1,1
16319,1,0.53,1,0
16320,0,0.14,0,0
16321,0,0.015,0,0
16322,0,0.06,0,0
16293,0,0.435,1,1
16294,0,0.13,0,0
16295,0,0.645,1,1
16296,0,0.56,1,1
16297,0,0.17,0,0
16337,0,0.07,0,0
16338,0,0.04,0,0
16339,0,0.06,0,0
16340,0,0.375,1,1
16341,0,0.125,0,0
16284,0,0.17,0,0
16285,0,0.08,0,0
16286,0,0.23,1,1
16287,0,0.285,1,1
16288,0,0.085,0,0
16360,0,0.39,1,1
16361,0,0.0,0,0
16362,0,0.33,1,1
16363,1,0.315,1,0
16364,1,0.33,1,0
16298,0,0.445,1,1
16299,0,0.155,0,0
16300,0,0.155,0,0
16301,0,0.005,0,0
16302,0,0.16,0,0
11119,0,0.215,0,0
11075,0,0.54,1,1
11076,0,0.195,0,0
11077,0,0.195,0,0
11114,0,0.165,0,0
11115,1,0.17,0,1
11116,1,0.17,0,1
11117,1,0.175,0,1
11118,0,0.155,0,0
11120,0,0.11,0,0
11121,0,0.1,0,0
11122,0,0.045,0,0
11123,0,0.085,0,0
11124,0,0.305,1,1
11111,0,0.0,0,0
