plot_id,true_label,prob_class_1,thresholded_label,thresholded_misclassified
19111,1,0.56382823,1,0
1139,0,0.11304865,0,0
19905,1,0.4633428,1,0
11267,0,0.15311897,0,0
13188,0,0.39818552,1,1
3534,0,0.16273539,0,0
3699,0,0.08052078,0,0
5454,0,0.14744245,0,0
12328,0,0.121448345,0,0
18482,0,0.22192895,0,0
5096,1,0.1295965,0,1
15067,0,0.22631946,0,0
7001,1,0.4352675,1,0
9588,0,0.06692613,0,0
5011,1,0.42973784,1,0
5117,1,0.2985767,1,0
6423,1,0.7450464,1,0
14896,1,0.54649436,1,0
18429,0,0.3139948,1,1
19570,0,0.5725011,1,1
6064,1,0.11437819,0,1
1943,0,0.4655244,1,1
7479,0,0.09741008,0,0
16380,0,0.055555444,0,0
9064,0,0.17568491,0,0
21027,0,0.084182605,0,0
16597,0,0.15256357,0,0
19898,1,0.47667122,1,0
8212,1,0.5725285,1,0
3102,0,0.250564,0,0
5692,0,0.18325122,0,0
19140,0,0.109961554,0,0
9865,0,0.12289848,0,0
9731,0,0.4056266,1,1
5831,0,0.12945044,0,0
21268,0,0.19401935,0,0
8577,0,0.11952544,0,0
2145,0,0.3366019,1,1
20175,0,0.42552727,1,1
17355,1,0.30996186,1,0
18819,0,0.37334877,1,1
6315,0,0.35963172,1,1
6101,0,0.03573894,0,0
6616,0,0.55777264,1,1
7063,0,0.120301,0,0
8892,1,0.36555153,1,0
7272,0,0.06942861,0,0
7394,1,0.32723522,1,0
16295,0,0.5408124,1,1
4391,0,0.13924222,0,0
15092,0,0.24341786,0,0
4684,0,0.14857778,0,0
13546,1,0.25951582,1,0
18543,0,0.0873517,0,0
1524,1,0.40914848,1,0
14878,0,0.1758913,0,0
19024,0,0.27702662,1,1
16008,0,0.42455125,1,1
5605,0,0.10761079,0,0
11550,1,0.573842,1,0
2393,0,0.22811669,0,0
5433,0,0.04753888,0,0
14611,1,0.059540413,0,1
18154,1,0.18932052,0,1
206,0,0.41340837,1,1
5350,0,0.16366589,0,0
16487,0,0.586172,1,1
5131,0,0.12261335,0,0
19458,0,0.12764873,0,0
678,1,0.20525289,0,1
866,0,0.2210111,0,0
6553,0,0.19530234,0,0
17866,0,0.25373328,1,1
3365,0,0.13903391,0,0
12707,0,0.34511712,1,1
16013,0,0.25249648,0,0
20020,0,0.24539068,0,0
3605,0,0.068708986,0,0
15631,0,0.4898416,1,1
13102,1,0.09388176,0,1
8255,0,0.23257747,0,0
19029,0,0.15833429,0,0
13860,0,0.07934629,0,0
4296,0,0.21867004,0,0
21240,0,0.47608006,1,1
8,0,0.38173145,1,1
2387,0,0.23094068,0,0
18474,0,0.26407778,1,1
19055,0,0.13954541,0,0
11309,0,0.4243894,1,1
5531,0,0.08599693,0,0
15467,0,0.43637952,1,1
19493,0,0.24603988,0,0
17204,0,0.23652409,0,0
376,1,0.3548754,1,0
4118,0,0.26869872,1,1
20847,1,0.20174398,0,1
5995,0,0.03626415,0,0
21058,1,0.30830792,1,0
13655,0,0.13135284,0,0
20734,1,0.4075201,1,0
3455,0,0.32360864,1,1
16166,0,0.4098476,1,1
7850,0,0.22792143,0,0
4456,0,0.5407007,1,1
21242,1,0.18827553,0,1
19835,1,0.29730928,1,0
1487,0,0.114858694,0,0
7073,0,0.3300318,1,1
13602,0,0.11973051,0,0
118,1,0.19897474,0,1
20877,1,0.7119548,1,0
18455,0,0.00037493336,0,0
7462,0,0.06898095,0,0
346,0,0.25118893,0,0
816,0,0.2444828,0,0
3156,0,0.25916058,1,1
9466,1,0.3686342,1,0
21021,1,0.3812454,1,0
7305,0,0.21834491,0,0
6608,1,0.22960727,0,1
8527,1,0.41154504,1,0
15120,0,0.49930698,1,1
10809,0,0.17395438,0,0
3834,0,0.04239738,0,0
476,0,0.053882685,0,0
12020,1,0.14178099,0,1
1132,0,0.54876524,1,1
15948,1,0.3296802,1,0
10794,0,0.44807273,1,1
1180,1,0.35258207,1,0
13246,0,0.21059684,0,0
9263,1,0.42502406,1,0
20699,1,0.30477092,1,0
15066,0,0.16872108,0,0
14019,0,0.5086884,1,1
3863,0,0.051541355,0,0
5097,1,0.17382208,0,1
20331,1,0.19698936,0,1
4388,1,0.10929837,0,1
827,0,0.24861169,0,0
2888,0,0.064963326,0,0
793,1,0.33374396,1,0
6118,1,0.5940528,1,0
5434,0,0.18548529,0,0
9468,0,0.40498036,1,1
18044,1,0.648595,1,0
18909,0,0.077841006,0,0
18149,0,0.13267584,0,0
330,0,0.25991702,1,1
18673,0,0.061958477,0,0
1020,0,0.26674616,1,1
6849,0,0.15262255,0,0
14634,1,0.2796806,1,0
8396,0,0.1850601,0,0
17320,0,0.19266257,0,0
2094,0,0.25420853,1,1
284,0,0.058517545,0,0
9359,0,0.096178316,0,0
15940,0,0.5031976,1,1
16709,0,0.19049144,0,0
1961,0,0.3102653,1,1
18782,0,0.03398743,0,0
20697,0,0.039852183,0,0
20650,1,0.24430543,0,1
2174,0,0.16666108,0,0
6588,1,0.43411738,1,0
11102,1,0.3164717,1,0
21156,1,0.26926306,1,0
9886,0,0.121471666,0,0
1232,0,0.3122024,1,1
11123,0,0.079011254,0,0
9607,0,0.11314536,0,0
9825,0,0.23039727,0,0
3805,0,0.057901468,0,0
16684,0,0.12928203,0,0
2757,0,0.11400021,0,0
6888,0,0.18731092,0,0
1429,1,0.19645157,0,1
1338,0,0.13536187,0,0
17365,1,0.11630558,0,1
823,0,0.17578034,0,0
8047,0,0.29912567,1,1
7772,0,0.061525267,0,0
5809,0,0.053194832,0,0
20289,0,0.15347023,0,0
15106,0,0.19688167,0,0
4663,0,0.3765407,1,1
6249,0,0.2085821,0,0
9197,0,0.21898426,0,0
16611,0,0.3367816,1,1
21224,1,0.35691687,1,0
13848,0,0.06696201,0,0
8149,1,0.23306811,0,1
19740,0,0.19980137,0,0
10150,1,0.3008294,1,0
10579,0,0.2944598,1,1
18451,0,0.37626153,1,1
7385,0,0.38551772,1,1
5567,0,0.49538186,1,1
2991,0,0.21953094,0,0
17827,0,0.06910365,0,0
13709,0,0.07304538,0,0
18592,0,0.09039514,0,0
19072,1,0.5706384,1,0
3480,0,0.51402974,1,1
5595,0,0.25059143,0,0
3655,1,0.28505924,1,0
18588,0,0.14799194,0,0
15329,0,0.29211983,1,1
1823,0,0.15099192,0,0
11354,0,0.11093667,0,0
15938,0,0.13103019,0,0
8648,0,0.19649811,0,0
15349,1,0.25914475,1,0
16592,0,0.16013089,0,0
20319,0,0.25398913,1,1
15378,1,0.23646598,0,1
11812,0,0.09543688,0,0
16913,0,0.17036743,0,0
8763,1,0.06578545,0,1
14609,1,0.2116874,0,1
3948,0,0.06492654,0,0
1406,0,0.37271333,1,1
9868,0,0.10944421,0,0
10745,0,0.08400375,0,0
17875,0,0.14413163,0,0
5557,0,0.11645523,0,0
3359,0,0.2793022,1,1
802,1,0.5726039,1,0
4713,0,0.07981312,0,0
4805,0,0.22149655,0,0
12174,0,0.1933124,0,0
5298,0,0.101754524,0,0
1831,0,0.17833252,0,0
2342,1,0.15202057,0,1
19505,0,0.0906682,0,0
2129,1,0.4399466,1,0
4670,0,0.12674272,0,0
15146,0,0.3667411,1,1
16672,1,0.21839601,0,1
20413,0,0.2115892,0,0
9995,0,0.16112308,0,0
7813,1,0.5201789,1,0
20600,0,0.11157769,0,0
7867,0,0.23564851,0,0
18192,1,0.26707646,1,0
14596,0,0.14199291,0,0
11470,1,0.09438918,0,1
3410,0,0.09296788,0,0
16554,0,0.05143603,0,0
5625,0,0.09953849,0,0
20254,0,0.4359696,1,1
8702,0,0.19808343,0,0
18921,0,0.04821881,0,0
20382,0,0.37174335,1,1
12797,0,0.0953821,0,0
15249,1,0.27221298,1,0
7869,1,0.379657,1,0
1456,0,0.14487077,0,0
21124,0,0.23267801,0,0
188,0,0.093948364,0,0
20813,0,0.5584645,1,1
15171,1,0.38825694,1,0
16335,0,0.14579926,0,0
20140,0,0.23239768,0,0
10324,0,0.5702753,1,1
12921,0,0.34806535,1,1
3963,0,0.24415156,0,0
18375,0,0.22053644,0,0
16352,1,0.129986,0,1
5376,0,0.053160872,0,0
7349,0,0.19585298,0,0
11195,0,0.36504894,1,1
17578,0,0.11276883,0,0
16344,1,0.5078228,1,0
16094,0,0.38298747,1,1
12304,0,0.19811285,0,0
19618,0,0.48404118,1,1
5135,0,0.2677814,1,1
2626,0,0.11810217,0,0
11529,0,0.4666661,1,1
11747,0,0.09388695,0,0
15688,1,0.3440984,1,0
1705,0,0.20941833,0,0
10942,1,0.4720321,1,0
13825,1,0.24716792,0,1
5889,0,0.13722348,0,0
3580,1,0.46825436,1,0
1314,0,0.07708109,0,0
11541,1,0.14991309,0,1
19305,0,0.1764472,0,0
2817,0,0.10257597,0,0
