plot_id,true_label,prob_class_1,thresholded_label,thresholded_misclassified
817,0,0.08933551,0,0
2565,1,0.26689333,0,1
4739,1,0.28085676,0,1
2580,0,0.52734274,1,1
745,1,0.52442175,1,0
136,0,0.27693713,0,0
1094,0,0.37502345,1,1
4059,1,0.67997104,1,0
2610,0,0.1051935,0,0
2541,0,0.4101418,1,1
176,1,0.35261703,1,0
939,1,0.6234119,1,0
1301,0,0.03386225,0,0
1375,1,0.17953639,0,1
2505,1,0.73650306,1,0
1037,0,0.2136014,0,0
3229,1,0.34966323,1,0
480,0,0.22362523,0,0
3401,0,0.113317855,0,0
3178,1,0.8143036,1,0
1473,1,0.31100753,0,1
3698,0,0.3447165,0,0
1986,0,0.082421355,0,0
3969,0,0.13076133,0,0
3342,1,0.4453891,1,0
1505,1,0.24299006,0,1
3494,0,0.11489637,0,0
1822,1,0.7309451,1,0
3543,1,0.8528172,1,0
2265,0,0.43240353,1,1
555,1,0.41649577,1,0
2010,1,0.2191959,0,1
1619,0,0.24048254,0,0
550,1,0.61916316,1,0
3615,1,0.7528404,1,0
1823,1,0.6669999,1,0
4600,1,0.63635045,1,0
332,0,0.12211455,0,0
4122,0,0.5734319,1,1
3621,1,0.5019832,1,0
1331,0,0.0898499,0,0
4526,0,0.3337572,0,0
2184,0,0.37219122,1,1
3049,0,0.07005418,0,0
3369,0,0.45255235,1,1
503,0,0.2785865,0,0
662,0,0.49724424,1,1
2834,0,0.09812858,0,0
1564,0,0.2986767,0,0
2971,1,0.18149377,0,1
4332,0,0.03429942,0,0
3275,1,0.38680753,1,0
1187,0,0.048653815,0,0
1970,1,0.30744833,0,1
4609,1,0.2120581,0,1
3770,1,0.7427171,1,0
58,0,0.09071942,0,0
3489,1,0.4249899,1,0
783,1,0.5620384,1,0
2940,1,0.59662896,1,0
690,0,0.22374605,0,0
3501,1,0.77689,1,0
146,1,0.28039122,0,1
3113,0,0.47656903,1,1
2388,0,0.27462822,0,0
3346,0,0.28298002,0,0
965,0,0.22666635,0,0
1636,0,0.18005197,0,0
2810,0,0.31285766,0,0
1119,1,0.47525963,1,0
741,1,0.38615707,1,0
661,0,0.5031937,1,1
532,0,0.061299272,0,0
261,0,0.22388114,0,0
3125,0,0.3555749,1,1
1770,1,0.4251574,1,0
3962,0,0.047599006,0,0
2038,0,0.14628129,0,0
932,0,0.17493045,0,0
2146,0,0.34587678,0,0
4234,0,0.066046335,0,0
180,0,0.2798621,0,0
1128,1,0.42263243,1,0
1287,0,0.15479006,0,0
2760,0,0.28460774,0,0
4821,1,0.47080228,1,0
3259,0,0.16025019,0,0
2561,1,0.5019657,1,0
2457,0,0.6096448,1,1
247,1,0.62530416,1,0
1868,0,0.25650096,0,0
2020,0,0.23134105,0,0
2805,0,0.48747215,1,1
533,0,0.16279854,0,0
522,0,0.33851424,0,0
2995,0,0.47448683,1,1
326,0,0.13200548,0,0
4501,1,0.29932025,0,1
2136,0,0.21471171,0,0
2046,0,0.17909388,0,0
1869,0,0.494602,1,1
2414,1,0.5128773,1,0
2927,0,0.5737513,1,1
408,0,0.15155464,0,0
4598,0,0.41926202,1,1
4333,0,0.036384966,0,0
1512,1,0.20326838,0,1
812,0,0.12180289,0,0
2825,0,0.26942644,0,0
2660,0,0.20260318,0,0
1457,0,0.52537936,1,1
2973,1,0.2391167,0,1
4500,1,0.41466564,1,0
3596,1,0.35334796,1,0
1973,0,0.2660362,0,0
1531,0,0.10522354,0,0
1246,0,0.064628534,0,0
4777,1,0.185629,0,1
4060,1,0.56265426,1,0
3116,0,0.4299585,1,1
2132,0,0.23089741,0,0
799,0,0.07032383,0,0
139,0,0.5731741,1,1
4085,1,0.2896019,0,1
2093,0,0.22598015,0,0
3536,0,0.30347574,0,0
1062,0,0.11735792,0,0
3256,0,0.4586246,1,1
3107,0,0.08514335,0,0
1632,1,0.1019861,0,1
2830,0,0.13345753,0,0
1117,1,0.23860866,0,1
1913,0,0.5337054,1,1
2795,0,0.7045474,1,1
607,0,0.11605164,0,0
4327,0,0.5203788,1,1
1443,1,0.57694083,1,0
2905,0,0.11188797,0,0
4011,1,0.37927186,1,0
2351,0,0.50188625,1,1
2111,1,0.36700106,1,0
2479,1,0.55717134,1,0
3037,0,0.3621206,1,1
3311,1,0.29304323,0,1
1749,0,0.14566661,0,0
2268,0,0.060623642,0,0
3262,0,0.40677276,1,1
2099,1,0.41129494,1,0
4064,0,0.47500074,1,1
544,0,0.097461745,0,0
2423,1,0.617284,1,0
1155,0,0.28356528,0,0
225,1,0.47134542,1,0
2582,0,0.5269511,1,1
2425,1,0.72669446,1,0
348,1,0.62493,1,0
3683,1,0.7675087,1,0
2658,1,0.55481267,1,0
4262,0,0.06470097,0,0
3363,0,0.5340464,1,1
4228,0,0.7427455,1,1
907,0,0.45205835,1,1
1584,0,0.47712767,1,1
4588,0,0.3965411,1,1
2873,0,0.18433717,0,0
2138,0,0.15387246,0,0
1271,0,0.42138407,1,1
50,0,0.06165761,0,0
