plot_id,true_label,prob_class_1,thresholded_label,thresholded_misclassified
2474,0,0.3887552,1,1
2475,0,0.19806908,0,0
2476,1,0.7717213,1,0
2477,1,0.64518344,1,0
2478,0,0.12490557,0,0
2479,1,0.60421073,1,0
3731,0,0.3270135,1,1
3732,0,0.07580155,0,0
3733,0,0.69424736,1,1
3734,0,0.46581206,1,1
3735,0,0.51602274,1,1
3737,1,0.74393,1,0
3738,1,0.40398023,1,0
3739,0,0.5181005,1,1
3740,0,0.16691893,0,0
3741,0,0.47261643,1,1
2441,0,0.33941805,1,1
2442,0,0.12974927,0,0
2443,0,0.32831696,1,1
2444,0,0.43857673,1,1
2445,1,0.101778656,0,1
2446,0,0.2744022,0,0
1331,0,0.10919368,0,0
1332,0,0.106587745,0,0
1333,0,0.55971795,1,1
1334,0,0.33789128,1,1
1335,0,0.32386068,1,1
1336,0,0.25487086,0,0
1586,0,0.08559097,0,0
1587,0,0.1100987,0,0
1588,0,0.12123561,0,0
1589,1,0.1814169,0,1
1590,1,0.33919954,1,0
1591,1,0.32180935,1,0
1592,0,0.259775,0,0
1601,1,0.4470358,1,0
1602,1,0.8232719,1,0
1603,0,0.38283142,1,1
1604,0,0.13556467,0,0
1605,0,0.3675903,1,1
1606,0,0.08281755,0,0
1607,0,0.059667792,0,0
2431,1,0.34149987,1,0
2432,1,0.24703026,0,1
2433,1,0.26082602,0,1
2434,1,0.464564,1,0
2435,0,0.12622525,0,0
2436,0,0.13216373,0,0
2437,1,0.2683743,0,1
2438,1,0.107151546,0,1
2439,0,0.1392228,0,0
2440,0,0.12206151,0,0
3350,0,0.45984447,1,1
3351,0,0.8715511,1,1
3352,0,0.8557107,1,1
3353,0,0.644056,1,1
3354,0,0.5487911,1,1
3360,0,0.20655885,0,0
3361,0,0.6697791,1,1
3362,1,0.57266676,1,0
3363,0,0.4340654,1,1
3364,0,0.69683486,1,1
3022,0,0.14780264,0,0
3023,1,0.25249586,0,1
3024,0,0.433178,1,1
3025,0,0.104027934,0,0
3026,0,0.09008937,0,0
3027,0,0.12544453,0,0
3028,0,0.087048,0,0
3029,0,0.066363044,0,0
3030,0,0.093339495,0,0
3031,0,0.10214362,0,0
3032,0,0.14864962,0,0
3033,0,0.1924389,0,0
3034,0,0.083139606,0,0
